iter	Logloss
0	0.666579348
1	0.6431890721
2	0.621450418
3	0.6031673067
4	0.5871713482
5	0.5725232488
6	0.5592858361
7	0.548828647
8	0.5387754702
9	0.530561496
10	0.5225733324
11	0.5148355205
12	0.5073913318
13	0.5004566344
14	0.4947246323
15	0.4902773898
16	0.4859159293
17	0.4808921997
18	0.4767549631
19	0.4730452568
20	0.469465768
21	0.4666480939
22	0.4630180765
23	0.4604236029
24	0.4575767214
25	0.4549647008
26	0.4519905591
27	0.44966881
28	0.4475134896
29	0.4456771128
30	0.4438618882
31	0.4420900664
32	0.4405286016
33	0.4388188654
34	0.4372525468
35	0.4358969234
36	0.4341135443
37	0.4328191053
38	0.4315710545
39	0.4304534371
40	0.429360868
41	0.4279905705
42	0.4270054896
43	0.4255552495
44	0.4246460834
45	0.4236199563
46	0.4224324327
47	0.4213621424
48	0.4203764512
49	0.4194663181
50	0.4184461902
51	0.4177256752
52	0.4167883626
53	0.4158132053
54	0.4150457012
55	0.4143303029
56	0.4137170976
57	0.4128822128
58	0.4122413117
59	0.4114456517
60	0.4110855022
61	0.4105333593
62	0.4101059417
63	0.4092926408
64	0.4087672737
65	0.408147121
66	0.4075506929
67	0.4070124167
68	0.4063366658
69	0.4058260667
70	0.4054435445
71	0.4050954873
72	0.4047441629
73	0.404416901
74	0.4038256928
75	0.4031649915
76	0.4027239795
77	0.4022587828
78	0.4018688344
79	0.4013153583
80	0.4007066877
81	0.4002559868
82	0.3996636708
83	0.3992974845
84	0.3986785805
85	0.3982793657
86	0.3979684303
87	0.3976715964
88	0.3972922944
89	0.3969081387
90	0.3965287804
91	0.3961116056
92	0.3957212535
93	0.3952603473
94	0.3949351322
95	0.3946028944
96	0.3942249726
97	0.3937814538
98	0.3933963874
99	0.3931004735
100	0.3926433791
101	0.3923681197
102	0.3921191855
103	0.3916923406
104	0.3914404209
105	0.3911617347
106	0.3906329033
107	0.3902977176
108	0.3898526497
109	0.3894863696
110	0.3890155305
111	0.3887268175
112	0.3885529438
113	0.3883642082
114	0.3880185544
115	0.3877371832
116	0.3874441421
117	0.3873075029
118	0.3869957601
119	0.3866852379
120	0.3865033558
121	0.3862135726
122	0.385978045
123	0.3856620587
124	0.3853570943
125	0.3851358842
126	0.3849564619
127	0.3847032372
128	0.3844345967
129	0.384138495
130	0.3839594483
131	0.3837568835
132	0.3835347627
133	0.3832963154
134	0.3830144372
135	0.3828533787
136	0.3826497906
137	0.3823700717
138	0.3822101211
139	0.3820363788
140	0.3817917727
141	0.3816578843
142	0.3814311443
143	0.3811817313
144	0.381063071
145	0.3808261352
146	0.3804462136
147	0.380194707
148	0.3799471623
149	0.3797563519
150	0.3795777652
151	0.3791197225
152	0.3788708728
153	0.3787938407
154	0.3785634111
155	0.3782772049
156	0.378196117
157	0.3779561581
158	0.3777630382
159	0.3776222023
160	0.3774452211
161	0.377205619
162	0.3770033734
163	0.3768046204
164	0.3766337603
165	0.3765192685
166	0.3762549185
167	0.3760319057
168	0.3758313876
169	0.3757070942
170	0.3754361536
171	0.375245315
172	0.3749350368
173	0.3747361523
174	0.3746071083
175	0.3744066935
176	0.3742562346
177	0.3740485719
178	0.3739128246
179	0.3737409506
180	0.3735486287
181	0.3733787826
182	0.3732227187
183	0.3730660446
184	0.3728764078
185	0.3726687263
186	0.3725309887
187	0.372427378
188	0.3723225562
189	0.3722096978
190	0.3719841878
191	0.3716394259
192	0.3713174873
193	0.3711554711
194	0.3709921594
195	0.3708166615
196	0.3706926404
197	0.3704896813
198	0.3703048889
199	0.3700617849
200	0.3699401202
201	0.3697147134
202	0.3694440262
203	0.36925699
204	0.3690784033
205	0.3688534471
206	0.3685592044
207	0.3682511794
