iter	Passed	Remaining
0	195	195376
1	230	114786
2	261	86863
3	290	72287
4	329	65622
5	373	61814
6	403	57177
7	429	53224
8	459	50614
9	489	48499
10	518	46590
11	547	45071
12	581	44133
13	609	42951
14	643	42279
15	673	41428
16	701	40542
17	732	39982
18	765	39535
19	797	39066
20	837	39028
21	867	38542
22	897	38144
23	929	37810
24	968	37755
25	1004	37645
26	1039	37476
27	1071	37196
28	1105	37013
29	1142	36951
30	1174	36711
31	1204	36425
32	1235	36206
33	1266	35970
34	1295	35723
35	1326	35524
36	1372	35731
37	1404	35558
38	1434	35347
39	1465	35169
40	1496	35011
41	1533	34968
42	1561	34756
43	1590	34550
44	1625	34489
45	1661	34448
46	1690	34284
47	1720	34131
48	1749	33961
49	1778	33800
50	1806	33612
51	1835	33459
52	1863	33304
53	1895	33214
54	1934	33243
55	1971	33234
56	2004	33155
57	2037	33098
58	2073	33067
59	2101	32917
60	2132	32834
61	2167	32789
62	2196	32674
63	2227	32569
64	2256	32461
65	2289	32400
66	2317	32274
67	2352	32241
68	2380	32125
69	2411	32032
70	2441	31949
71	2471	31854
72	2501	31762
73	2530	31661
74	2559	31562
75	2586	31451
76	2616	31363
77	2650	31334
78	2684	31297
79	2790	32086
80	2843	32257
81	2872	32159
82	2902	32065
83	2928	31934
84	2961	31876
85	2989	31768
86	3018	31673
87	3046	31575
88	3074	31468
89	3103	31378
90	3143	31396
91	3175	31341
92	3207	31280
93	3236	31198
94	3267	31124
95	3298	31058
96	3333	31033
97	3361	30935
98	3388	30840
99	3419	30771
100	3447	30684
101	3484	30673
102	3512	30592
103	3539	30496
104	3572	30448
105	3607	30429
106	3639	30371
107	3669	30308
108	3699	30243
109	3730	30183
110	3764	30146
111	3793	30080
112	3822	30003
113	3849	29921
114	3879	29853
115	3907	29775
116	3934	29696
117	3969	29673
118	4001	29621
119	4029	29551
120	4058	29480
121	4087	29418
122	4118	29367
123	4147	29301
124	4176	29232
125	4203	29156
126	4231	29090
127	4262	29038
128	4295	29001
129	4327	28960
130	4357	28905
131	4387	28850
132	4430	28884
133	4496	29062
134	4531	29037
135	4561	28978
136	4587	28898
137	4617	28842
138	4645	28777
139	4673	28707
140	4702	28648
141	4728	28573
142	4758	28517
143	4791	28480
144	4818	28413
145	4847	28352
146	4879	28312
147	4907	28253
148	4935	28187
149	4964	28134
150	4993	28078
151	5022	28019
152	5052	27967
153	5082	27923
154	5114	27884
155	5146	27846
156	5174	27783
157	5202	27727
158	5230	27666
159	5258	27607
160	5285	27546
161	5323	27536
162	5350	27475
163	5377	27410
164	5408	27370
165	5436	27315
166	5464	27256
167	5493	27205
168	5522	27152
169	5553	27114
170	5619	27243
171	5700	27443
172	5748	27479
173	5775	27417
174	5803	27357
175	5829	27292
176	5860	27251
177	5888	27190
178	5914	27126
179	5943	27076
180	5971	27019
181	5997	26957
182	6027	26909
183	6055	26854
184	6081	26789
185	6119	26781
186	6148	26732
187	6175	26674
188	6203	26617
189	6232	26569
190	6266	26542
191	6295	26492
192	6327	26456
193	6353	26398
194	6390	26381
195	6422	26344
196	6451	26297
197	6484	26263
198	6508	26198
199	6537	26149
200	6564	26095
201	6597	26065
202	6629	26026
203	6656	25971
204	6684	25923
205	6709	25862
206	6740	25821
207	6769	25775
208	6797	25725
209	6829	25693
210	6857	25642
211	6882	25583
212	6916	25555
213	6944	25505
214	6971	25453
215	7002	25416
216	7030	25368
217	7058	25318
218	7083	25262
219	7115	25226
220	7143	25180
221	7176	25151
222	7202	25096
223	7231	25050
224	7260	25007
225	7288	24961
226	7319	24924
227	7345	24870
228	7375	24830
229	7404	24789
230	7438	24762
231	7468	24723
232	7500	24689
233	7542	24689
234	7592	24715
235	7634	24716
236	7663	24670
237	7702	24659
238	7737	24638
239	7771	24611
240	7801	24570
241	7835	24542
242	7871	24520
243	7906	24498
244	7941	24473
245	7983	24470
246	8022	24458
247	8050	24411
248	8081	24373
249	8110	24330
250	8137	24283
251	8166	24238
252	8194	24193
253	8225	24159
254	8253	24111
255	8279	24063
256	8310	24025
257	8338	23982
258	8370	23947
259	8408	23931
260	8457	23947
261	8565	24127
262	8676	24312
