iter	Passed	Remaining
0	49	58769
1	182	109305
2	237	94751
3	276	82637
4	330	78892
5	364	72508
6	388	66214
7	420	62664
8	453	60001
9	485	57734
10	513	55545
11	542	53658
12	569	51998
13	595	50466
14	617	48789
15	639	47346
16	660	45956
17	683	44901
18	704	43770
19	725	42784
20	748	42023
21	771	41284
22	794	40650
23	815	39957
24	837	39375
25	863	38988
26	883	38373
27	905	37890
28	930	37577
29	955	37265
30	978	36890
31	1002	36579
32	1021	36141
33	1052	36111
34	1074	35764
35	1121	36249
36	1142	35922
37	1169	35764
38	1190	35453
39	1212	35164
40	1232	34827
41	1257	34673
42	1286	34627
43	1310	34434
44	1330	34154
45	1352	33920
46	1371	33634
47	1397	33539
48	1416	33265
49	1440	33139
50	1459	32874
51	1483	32757
52	1503	32546
53	1527	32426
54	1549	32249
55	1573	32153
56	1595	32003
57	1617	31851
58	1643	31787
59	1667	31674
60	1688	31535
61	1712	31430
62	1732	31271
63	1756	31178
64	1779	31073
65	1805	31014
66	1825	30875
67	1846	30730
68	1864	30560
69	1889	30503
70	1912	30406
71	1943	30443
72	1971	30441
73	1992	30323
74	2017	30262
75	2050	30322
76	2072	30231
77	2095	30141
78	2118	30061
79	2141	29982
80	2162	29872
81	2184	29780
82	2206	29694
83	2229	29619
84	2257	29619
85	2287	29634
86	2308	29537
87	2331	29461
88	2353	29384
89	2375	29294
90	2394	29177
91	2417	29118
92	2440	29046
93	2460	28945
94	2479	28842
95	2500	28759
96	2524	28703
97	2546	28638
98	2567	28549
99	2589	28488
100	2608	28387
101	2631	28324
102	2654	28266
103	2676	28202
104	2696	28118
105	2717	28051
106	2741	28007
107	2769	28000
108	2792	27947
109	2816	27908
110	2843	27896
111	2864	27824
112	2887	27774
113	2907	27699
114	2930	27651
115	2952	27590
116	2977	27560
117	3000	27513
118	3024	27475
119	3050	27458
120	3072	27397
121	3093	27332
122	3116	27288
123	3136	27214
124	3159	27174
125	3185	27150
126	3205	27080
127	3232	27071
128	3253	27007
129	3280	26997
130	3299	26928
131	3329	26941
132	3353	26901
133	3386	26937
134	3413	26928
135	3441	26926
136	3474	26957
137	3503	26965
138	3531	26959
139	3554	26912
140	3574	26847
141	3601	26832
142	3626	26805
143	3649	26766
144	3660	26631
145	3682	26585
146	3706	26551
147	3732	26532
148	3759	26515
149	3781	26473
150	3805	26434
151	3827	26392
152	3847	26330
153	3869	26279
154	3889	26220
155	3915	26205
156	3936	26148
157	3958	26103
158	3979	26052
159	4001	26011
160	4034	26036
161	4057	25995
162	4080	25958
163	4100	25902
164	4127	25889
165	4147	25831
166	4168	25783
167	4188	25732
168	4210	25686
169	4235	25659
170	4264	25664
171	4294	25664
172	4317	25633
173	4340	25594
174	4364	25566
175	4388	25532
176	4412	25503
177	4435	25464
178	4459	25435
179	4481	25395
180	4500	25338
181	4523	25300
182	4545	25258
183	4570	25237
184	4590	25184
185	4612	25143
186	4631	25089
187	4654	25056
188	4676	25017
189	4697	24973
190	4716	24916
191	4740	24887
192	4765	24862
193	4787	24825
194	4813	24807
195	4834	24762
196	4857	24732
197	4880	24697
198	4903	24664
199	4924	24622
200	4945	24579
201	4967	24544
202	4991	24513
203	5020	24514
204	5045	24487
205	5065	24442
206	5090	24419
207	5111	24379
208	5132	24338
209	5156	24308
210	5179	24275
211	5210	24283
212	5234	24253
213	5256	24221
214	5277	24176
215	5302	24157
216	5323	24112
217	5348	24094
218	5370	24057
219	5396	24037
220	5419	24009
221	5443	23980
222	5467	23955
223	5491	23926
224	5516	23904
225	5537	23865
226	5561	23840
227	5585	23812
228	5613	23803
229	5637	23776
230	5659	23741
231	5681	23704
232	5705	23680
233	5726	23640
234	5751	23616
235	5770	23572
236	5793	23539
237	5815	23508
238	5839	23479
239	5859	23436
240	5882	23406
241	5902	23365
242	5925	23336
243	5949	23312
244	5970	23271
245	5990	23230
246	6017	23217
247	6042	23194
248	6064	23163
249	6084	23121
250	6106	23089
251	6127	23049
252	6152	23029
253	6173	22993
254	6221	23057
255	6241	23015
256	6267	22997
257	6285	22949
258	6308	22918
259	6329	22883
260	6355	22864
261	6378	22837
262	6404	22817
263	6425	22781
264	6448	22752
265	6472	22726
266	6495	22698
267	6515	22657
268	6537	22625
269	6559	22594
270	6582	22565
271	6601	22522
272	6626	22501
273	6647	22465
274	6671	22439
275	6694	22412
276	6714	22372
277	6735	22339
278	6757	22308
279	6784	22291
280	6807	22264
281	6830	22234
282	6851	22200
283	6873	22170
284	6896	22142
285	6919	22114
286	6942	22086
287	6965	22056
288	6989	22032
289	7014	22010
290	7040	21993
291	7062	21961
292	7082	21924
293	7109	21907
294	7127	21866
295	7150	21838
296	7170	21801
297	7196	21783
298	7215	21744
299	7240	21721
